"id";"developer";"name";"platform";"publisher";"release_date";"score"
18578;"Trendy Entertainment";"Dungeon Defenders: Etherian Holiday Extravaganza";"pc";"Trendy Entertainment";"2011-12-19";""
18579;"Avalanche Studios";"Renegade Ops: Coldstrike Campaign";"pc";"Sega";"2011-12-19";""
18580;"Avalanche Studios";"Renegade Ops: Reinforcement Pack";"pc";"Sega";"2011-12-19";""
18581;"Bekho Team";"Santa Rockstar HD";"pc";"Bekho Team";"2011-12-19";""
18582;"Tykocom";"Elfsquad7";"pc";"Stardock";"2011-12-19";""
18583;"";"8-Bit Night";"pc";"";"2011-12-18";"tbd"
18584;"Candygun Games";"Dead Block";"pc";"Kalypso";"2011-12-16";""
18585;"Astro Port";"SATAZIUS";"pc";"Capcom";"2011-12-16";""
18586;"The Secret Location";"Humans VS Vampires";"pc";"The Secret Location";"2011-12-16";""
18587;"CoreCode";"CoreBreach";"pc";"CoreCode";"2011-12-16";""
18588;"SkeinGlobe";"Brawl Busters";"pc";"Rock Hippo Productions Ltd.
                                                            
                                                    

                                                            
";"2011-12-15";""
18589;"Sony Online Entertainment";"Clone Wars Adventures: Battle of Umbara";"pc";"Sony Online Entertainment";"2011-12-15";""
18590;"Egosoft";"X3: Albion Prelude";"pc";"Egosoft";"2011-12-15";"75"
18591;"Ninja Kiwi";"Bloons Tower Defense 5";"pc";"Ninja Kiwi";"2011-12-15";""
18592;"";"Dungeon Defenders: Quest for the Lost Eternia Shards - Part 1: Mistymire Forest";"pc";"";"2011-12-15";"tbd"
18593;"Nitro Games";"Pirates of Black Cove: Origins";"pc";"Paradox Interactive";"2011-12-15";""
18594;"Coffee Stain Studios";"Sanctum: X-Mas Carnage";"pc";"Coffee Stain Studios";"2011-12-15";""
18595;"";"BtS - Evacuation";"pc";"";"2011-12-15";"tbd"
18596;"MDickie";"Wrestling MPire";"pc";"MDickie";"2011-12-15";""
18597;"Super Mega Awesome Games";"Boomtown Takedown";"pc";"Super Mega Awesome Games";"2011-12-15";""
18598;"Pixel Prone";"Epic Inventor";"pc";"Pixel Prone";"2011-12-15";""
18599;"C2C GAMES";"Heavy Blast";"pc";"C2C GAMES";"2011-12-15";""
18600;"Vicious Cycle";"Earth Defense Force: Insect Armageddon";"pc";"D3Publisher";"2011-12-14";"69"
18601;"Supergiant Games";"Bastion: The Stranger's Dream";"pc";"Warner Bros. Interactive Entertainment";"2011-12-14";""
18602;"Gaslamp Games";"Dungeons of Dredmor: Realm of the Diggle Gods";"pc";"Gaslamp Games";"2011-12-14";""
18603;"Haemimont";"Tropico 4: Plantador";"pc";"Kalypso";"2011-12-14";""
18604;"Bubble Gum Interactive";"Little Space Heroes";"pc";"Bubble Gum Interactive";"2011-12-14";""
18605;"Bubble Gum Interactive";"Space Heroes Universe";"pc";"Bubble Gum Interactive";"2011-12-14";""
18606;"EA DICE";"Battlefield 3: Back to Karkand";"pc";"Electronic Arts";"2011-12-13";"86"
18607;"Brightside Games";"Marble Arena 2";"pc";"Brightside Games";"2011-12-13";""
18608;"";"FlatOut 3: Chaos & Destruction";"pc";"";"2011-12-13";"23"
18609;"Gearbox Software";"Duke Nukem Forever: The Doctor Who Cloned Me";"pc";"2K Games";"2011-12-13";"52"
18610;"";"Assassin's Creed: Revelations - Ancestors Character Pack";"pc";"";"2011-12-13";"tbd"
18611;"FireFly Studios";"Stronghold Kingdoms";"pc";"FireFly Studios";"2011-12-12";"75"
18612;"Turbine Inc.";"The Lord of the Rings Online: Armies of Isengard";"pc";"Turbine Inc.";"2011-12-12";""
18613;"";"Men of War: Assault Squad - Skirmish Pack 2";"pc";"";"2011-12-12";"tbd"
18614;"Robit Studios";"Treasure Adventure Game";"pc";"Robit Studios";"2011-12-12";""
18615;"Turbine Inc.";"The Lord of the Rings Online: Against the Shadow";"pc";"Turbine Inc.";"2011-12-12";""
18616;"Winter Wolves Game Studio, sakevisual";"The Flower Shop: Winter In Fairbrook";"pc";"Winter Wolves Game Studio";"2011-12-09";""
18617;"SPIL GAMES";"Uphill Rush 4";"pc";"SPIL GAMES";"2011-12-09";""
18618;"Techtonic Games";"Bust-n-Rush";"pc";"Techtonic Games";"2011-12-08";""
18619;"Chillingo Ltd";"Home Sheep Home 2";"pc";"Chillingo Ltd";"2011-12-08";""
18620;"Frozenbyte, Inc.";"Trine 2";"pc";"Frozenbyte, Inc.";"2011-12-07";"84"
18621;"WBIE";"DC Universe Online: Lightning Strikes";"pc";"Sony Online Entertainment";"2011-12-07";""
18622;"";"Defense Grid: The Awakening - You Monster";"pc";"";"2011-12-07";"tbd"
18623;"Terry Cavanagh";"At a Distance";"pc";"Terry Cavanagh";"2011-12-07";""
18624;"FAKT Software";"Crazy Machines Elements";"pc";"DTP Entertainment";"2011-12-06";""
18625;"Reloaded Productions";"APB: Reloaded";"pc";"GamersFirst";"2011-12-06";"56"
18626;"Ubisoft Montpellier";"The Adventures of Tintin: The Game";"pc";"Ubisoft";"2011-12-06";""
18627;"Independent Arts";"Winter Sports 2012: Feel the Spirit";"pc";"DTP Entertainment";"2011-12-06";"22"
18628;"Anuman Interactive";"Barbarian the Ultimate Warrior";"pc";"Anuman Interactive";"2011-12-05";""
18629;"Vogster";"CrimeCraft: GangWars";"pc";"Vogster";"2011-12-05";""
18630;"The Muteki Corporation";"Dragon Fantasy";"pc";"The Muteki Corporation";"2011-12-02";""
18631;"snauts";"Lariad";"pc";"snauts";"2011-12-02";""
18632;"Netmarble";"SD Gundam Capsule Fighter Online";"pc";"OGPlanet";"2011-12-01";""
18633;"";"Lineage II: The Chaotic Chronicle - Goddess of Destruction";"pc";"NCSOFT";"2011-11-30";"tbd"
18634;"Creative Assembly";"Total War: Shogun 2 - The Hattori Clan Pack";"pc";"Sega";"2011-11-30";""
18635;"Unicorn Games Studio";"Real Warfare: 1242";"pc";"1C";"2011-11-30";""
18636;"Ubisoft Montreal";"Assassin's Creed: Revelations";"pc";"Ubisoft";"2011-11-29";"80"
18637;"";"Heavy Fire: Afghanistan";"pc";"Mastiff";"2011-11-29";""
18638;"Arrowhead Game Studios";"Magicka: The Stars are Left";"pc";"Paradox Interactive";"2011-11-29";""
18639;"CCP";"EVE Online: Crucible";"pc";"CCP";"2011-11-29";""
18640;"Cipher Prime";"Fractal: Make Blooms Not War";"pc";"indiePub";"2011-11-29";""
18641;"Digital Reality";"SkyDrift: Extreme Fighters Premium Airplane Pack";"pc";"Kalypso";"2011-11-28";""
18642;"Digital Reality";"SkyDrift: Gladiator Multiplayer Pack";"pc";"Kalypso";"2011-11-28";""
18643;"Nicolas Intoxicate";"Afterfall: InSanity";"pc";"Nicholas Games";"2011-11-25";"50"
18644;"increpare";"English Country Tune";"pc";"increpare";"2011-11-25";""
18645;"Rovio Mobile";"Angry Birds Rio";"pc";"Rovio Mobile";"2011-11-25";""
18646;"Tactics";"Harem * Party";"pc";"MangaGamer";"2011-11-25";""
18647;"Over Drive";"Dear Drops";"pc";"MangaGamer";"2011-11-25";""
18648;"Aerosoft";"Bronco X";"pc";"Aerosoft";"2011-11-24";""
18649;"Pikaia Games";"RENATIONS";"pc";"Pikaia Games";"2011-11-24";""
18650;"ChessBase";"Fritz Chess 13";"pc";"Viva Media
                                                            
                                                    

                                                            
                                                        Viva Media,";"2011-11-24";""
18651;"Big Fish Games";"Mystery Case Files: Escape From Ravenhearst";"pc";"Big Fish Games";"2011-11-24";""
18652;"jarnik";"Clone Wolf: Protector";"pc";"jarnik";"2011-11-24";""
18653;"Paradox Development Studio";"Hearts of Iron III Collection";"pc";"Paradox Interactive";"2011-11-23";""
18654;"Paradox Interactive";"Cities in Motion Collection";"pc";"Paradox Interactive";"2011-11-23";""
18655;"Code Force";"Distant Worlds: Legends";"pc";"Matrix Games";"2011-11-23";""
18656;"Koei";"Uncharted Waters Online: Tierra Americana";"pc";"Netmarble";"2011-11-23";""
18657;"Dejobaan Games";"AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome";"pc";"Dejobaan Games";"2011-11-23";""
18658;"AWEM Studio";"Cradle of Egypt";"pc";"AWEM Studio";"2011-11-23";""
18659;"Trendy Entertainment";"Dungeon Defenders: New Heroes";"pc";"Trendy Entertainment";"2011-11-23";""
18660;"Trendy Entertainment";"Dungeon Defenders: Warping Core Challenge Mission Pack";"pc";"Trendy Entertainment";"2011-11-23";""
18661;"Trendy Entertainment";"Dungeon Defenders: The Great Turkey Hunt";"pc";"Reverb";"2011-11-23";""
18662;"Trendy Entertainment";"Dungeon Defenders: New Hero Pack";"pc";"Reverb";"2011-11-23";""
18663;"Trendy Entertainment";"Dungeon Defenders: Warping Core Challenge Pack";"pc";"Reverb";"2011-11-23";""
18664;"Rocksteady Studios";"Batman: Arkham City";"pc";"Warner Bros. Interactive Entertainment";"2011-11-22";"91"
18665;"Croteam";"Serious Sam 3: BFE";"pc";"Devolver Digital";"2011-11-22";"72"
18666;"";"Batman: Arkham City - Robin Bundle Pack";"pc";"";"2011-11-22";"tbd"
18667;"Techland";"Dead Island: Bloodbath Arena";"pc";"Deep Silver";"2011-11-22";""
18668;"Paradox Interactive";"Magicka Collection";"pc";"Paradox Interactive";"2011-11-22";""
18669;"The Sims Studio";"The Sims Medieval Deluxe Edition";"pc";"EA Play";"2011-11-22";""
18670;"Ironcode Gaming";"Pahelika: Revelations";"pc";"Ironcode Gaming";"2011-11-22";""
18671;"Nicalis, Pixel Studios";"Cave Story";"pc";"";"2011-11-22";""
18672;"Nicalis";"Cave Story Plus";"pc";"Nicalis";"2011-11-22";"83"
18673;"SilverPlay";"Louisiana Adventure";"pc";"SilverPlay";"2011-11-22";""
18674;"Q1 Online";"Dragon Eternity";"pc";"Q1 Online";"2011-11-22";""
18675;"";"Grotesque Tactics 2: Dungeons & Donuts";"pc";"";"2011-11-21";"48"
18676;"Digital Reality";"SkyDrift";"pc";"Digital Reality";"2011-11-21";"73"
18677;"Arugges";"Solar Wings";"pc";"Arugges";"2011-11-20";""
18678;"Matrix Games, Slitherine";"Time of Fury";"pc";"Matrix Games
                                                            
                                                    

                                                            
                                                        Slitherine";"2011-11-19";""
18679;"";"LEGO Harry Potter: Years 5-7";"pc";"Warner Bros. Interactive Entertainment";"2011-11-18";"80"
18680;"Anuman Interactive";"Moto Racer 15th Anniversary";"pc";"Anuman Interactive";"2011-11-18";""
18681;"Unicorn Games Studio";"Real Warfare 2: Northern Crusades";"pc";"1C";"2011-11-18";""
18682;"SimBin";"Race Injection";"pc";"RaceRoom Entertainment AG";"2011-11-18";"72"
18683;"ERS Game Studio, ERS Game Studios";"Azada: In Libro";"pc";"Big Fish Games";"2011-11-18";""
18684;"Blue Byte, Related Designs";"Anno 2070";"pc";"Ubisoft";"2011-11-17";"83"
18685;"Bent Spoon Games";"Girl With a Heart of";"pc";"Bent Spoon Games";"2011-11-17";""
18686;"Mail.Ru";"Farm Kingdom";"pc";"Mail.Ru";"2011-11-17";""
18687;"VSTEP";"Ship Simulator Extremes: Cargo Vessel";"pc";"Paradox Interactive";"2011-11-17";""
18688;"Gamehi";"Sudden Attack";"pc";"Nexon";"2011-11-16";""
18689;"Boyojoy Network";"Call of Gods";"pc";"Koram Game Limited";"2011-11-16";""
18690;"Squid In A Box";"Waves";"pc";"Squid In A Box";"2011-11-16";"82"
18691;"Reverie World Studios Inc.";"Dawn of Fantasy";"pc";"505 Games";"2011-11-15";"59"
18692;"Volition Inc.";"Saints Row: The Third";"pc";"THQ";"2011-11-15";"84"
18693;"Telltale Games";"Jurassic Park: The Game";"pc";"Telltale Games";"2011-11-15";"54"
18694;"Black Box";"Need for Speed: The Run";"pc";"Electronic Arts";"2011-11-15";"69"
18695;"Sony Online Entertainment";"EverQuest: Veil of Alaris";"pc";"Sony Online Entertainment";"2011-11-15";""
18696;"2x2 Games";"Unity of Command";"pc";"2x2 Games";"2011-11-15";"84"
18697;"Anuman Interactive";"XIII Lost Identity";"pc";"Anuman Interactive";"2011-11-15";""
18698;"Recoil Games";"Rochard";"pc";"Recoil Games";"2011-11-15";"81"
18699;"";"Dragon Saga - New Origins: Phase 2";"pc";"";"2011-11-15";"tbd"
18700;"Playbrains, Fuel Industries";"Sideway: New York";"pc";"Playbrains";"2011-11-15";"71"
18701;"";"Dead Rising 2: Off the Record - Cosplay Warrior Costume and Skills Pack";"pc";"";"2011-11-15";"tbd"
18702;"Age Of Fear";"Age of Fear: The Undead King";"pc";"";"2011-11-15";""
18703;"Realmforge Studios";"Dungeons";"pc";"Kalypso";"2011-02-15";"65"
18704;"Realmforge Studios";"Dungeons";"pc";"Kalypso";"2011-02-15";"65"
18705;"Nerdy Bird";"SONAR";"pc";"Nerdy Bird";"2011-11-15";""
18706;"Landauer Games";"Star Sonata 2";"pc";"Landauer Games";"2011-11-12";""
18707;"Bethesda Game Studios";"The Elder Scrolls V: Skyrim";"pc";"Bethesda Softworks";"2011-11-11";"94"
18708;"Team Nitronic";"Nitronic Rush";"pc";"DigiPen Institute of Technology";"2011-11-11";""
18709;"Xform";"Rally Point 2";"pc";"Xform";"2011-11-11";""
18710;"EXE Create";"Lost Angelic Chronicles of Frane: Dragons Odyssey";"pc";"OmegaTH";"2011-11-11";""
18711;"";"Jamestown: Gunpowder, Treason, & Plot";"pc";"";"2011-11-10";"tbd"
18712;"Her Interactive";"Nancy Drew Collector's Edition Fan Favorites";"pc";"Her Interactive";"2011-11-10";""
18713;"gamigo";"Martial Empires: The Path of the Purgatory";"pc";"gamigo";"2011-11-09";""
18714;"The Domaginarium";"SteriodS";"pc";"The Domaginarium";"2011-11-09";""
18715;"";"Men of War: Assault Squad - MP Supply Pack Charlie";"pc";"";"2011-11-09";"tbd"
18716;"Alawar Entertainment, Inc";"Sky Taxi 4: Top Secret";"pc";"Alawar Entertainment, Inc";"2011-11-09";""
18717;"Xuse";"Eien no Aseria Expansion: The Spirit of Eternity Sword";"pc";"Jast";"2011-11-09";""
18718;"Perfect World Beijing";"War of the Immortals";"pc";"Perfect World Entertainment";"2011-11-09";""
18719;"Infinity Ward, Sledgehammer Games";"Call of Duty: Modern Warfare 3";"pc";"Activision";"2011-11-08";"78"
18720;"Rockstar Leeds";"L.A. Noire: The Complete Edition";"pc";"Rockstar Games";"2011-11-08";"83"
18721;"Robot Entertainment";"Orcs Must Die! Lost Adventures";"pc";"Robot Entertainment";"2011-11-08";""
18722;"Twisted Tribe";"Nadirim";"pc";"Twisted Tribe";"2011-11-07";""
18723;"Larian Studios";"Monkey Tales Games";"pc";"Die Keure";"2011-11-07";""
18724;"Tribute Games";"Wizorb";"pc";"Tribute Games";"2011-11-07";"81"
18725;"";"The Silver Lining - Episode 4: 'Tis in My Memory Locked, and You Your Yourself Shall Keep the Key of It";"pc";"";"2011-11-06";"tbd"
18726;"Alawar Entertainment, Inc";"Oddly Enough: Pied Piper";"pc";"Alawar Entertainment, Inc";"2011-11-06";""
18727;"Curve Studios";"Stealth Bastard";"pc";"Curve Studios";"2011-11-04";""
18728;"Valve Software";"Left 4 Dead 2: Crash Course";"pc";"Electronic Arts";"2011-11-04";""
18729;"Capcom Vancouver";"Dead Rising 2: Off the Record";"pc";"Capcom";"2011-11-03";"66"
18730;"Curve Studios";"Explodemon";"pc";"Curve Studios";"2011-11-03";""
18731;"Sega";"Sonic Generations";"pc";"Sega";"2011-11-03";"77"
18732;"Ignited Games";"WindSlayer 2";"pc";"Ignited Games";"2011-11-03";""
18733;"Coffee Stain Studios";"Sanctum: Cavern";"pc";"Coffee Stain Studios";"2011-11-03";""
18734;"Haemimont";"Tropico 4: Junta Military";"pc";"Kalypso";"2011-11-03";""
18735;"Coffee Stain Studios";"Sanctum: Slums";"pc";"Coffee Stain Studios";"2011-11-02";""
18736;"Snowblind Studios";"The Lord of the Rings: War in the North";"pc";"Warner Bros. Interactive Entertainment";"2011-11-01";"66"
18737;"Trickstar Games";"JASF: Jane's Advanced Strike Fighters";"pc";"Maximum Family Games";"2011-11-01";"48"
18738;"Ubisoft";"NCIS";"pc";"Ubisoft";"2011-11-01";""
18739;"";"Batman: Arkham City - Nightwing Bundle Pack";"pc";"";"2011-11-01";"tbd"
18740;"React Games";"Helam: A Stripling Warrior Quest";"pc";"Excel Entertainment";"2011-11-01";""
18741;"NAMKCOR";"Colorful (2011)";"pc";"NAMKCOR";"2011-11-01";""
18742;"Digital Arrow";"inMomentum";"pc";"White Rabbit Interactive";"2011-10-31";"59"
18743;"In-house";"Sjorok";"pc";"2 Hour Lunch Studios";"2011-10-31";""
18744;"Wolfire Games";"Voxatron";"pc";"Wolfire Games";"2011-10-31";""
18745;"YoYo Games Ltd.";"Cat Mario 3";"pc";"YoYo Games Ltd.";"2011-10-30";""
18746;"Nemesys";"Ignite - The Race Begins";"pc";"Just A Game";"2011-10-28";"59"
18747;"Kerberos Productions";"Sword of the Stars II: Lords of Winter";"pc";"Paradox Interactive";"2011-10-28";"44"
18748;"KING Art";"The Book of Unwritten Tales";"pc";"The Adventure Company
                                                            
                                                    

                                                            
                                                        L";"2011-10-28";"82"
18749;"Spline";"A Stroke of Fate: Operation Valkyrie";"pc";"Akella";"2011-10-28";"58"
18750;"Studio4";"PT Boats: Knights of the Sea";"pc";"Akella";"2011-10-28";""
18751;"Studio4";"PT Boats: South Gambit";"pc";"Akella";"2011-10-28";""
18752;"FAKT Software";"Crazy Machines 2: Halloween";"pc";"Viva Media
                                                            
                                                    

                                                            
                                                        Viva Media L";"2011-10-28";""
18753;"Trendy Entertainment";"Dungeon Defenders: Halloween Mission Pack";"pc";"Trendy Entertainment";"2011-10-28";""
18754;"GameKiss";"GhostX Ultimate";"pc";"GameKiss";"2011-10-28";""
18755;"RetroEpic Software";"A Day In The Woods";"pc";"RetroEpic Software";"2011-10-28";""
18756;"Bohemia Interactive";"Take On Helicopters";"pc";"Bohemia Interactive";"2011-10-27";"70"
18757;"NGD Studios";"Bunch of Heroes: Horror Pack";"pc";"NGD Studios";"2011-10-27";""
18758;"Avalanche Studios";"Renegade Ops";"pc";"Sega";"2011-10-26";"76"
18759;"Spectral Games";"Global Ops: Commando Libya";"pc";"Kalypso";"2011-10-26";"37"
18760;"Alawar Entertainment, Inc";"Weird Park: Broken Tune";"pc";"Viva Media
                                                            
                                                    

                                                            
                                                        Viva Media L";"2011-10-26";""
18761;"EA DICE";"Battlefield 3";"pc";"Electronic Arts";"2011-10-25";"89"
18762;"FireFly Studios";"Stronghold 3";"pc";"SouthPeak Games";"2011-10-25";"47"
18763;"Kylotonn";"The Cursed Crusade";"pc";"Atlus";"2011-10-25";"55"
18764;"WeMade Entertainment";"Digimon Masters Online";"pc";"Joymax";"2011-10-25";""
18765;"";"Family Vacation - California";"pc";"";"2011-10-25";"tbd"
18766;"Eurocom Entertainment Software";"Disney Universe";"pc";"Disney Interactive Studios";"2011-10-25";""
18767;"ValuSoft";"The Haunted: Hell's Reach";"pc";"THQ";"2011-10-25";"51"
18768;"Obsidian Entertainment";"Dungeon Siege III: Treasures of the Sun";"pc";"Square Enix";"2011-10-25";""
18769;"";"Warhammer 40,000: Space Marine - Exterminatus";"pc";"";"2011-10-25";"tbd"
18770;"Robot Entertainment";"Orcs Must Die! Artifacts of Power";"pc";"Robot Entertainment";"2011-10-25";""
18771;"Neutron Games GmbH";"IHF Handball Challenge 12";"pc";"Neutron Games GmbH";"2011-10-25";""
18772;"NoSense";"Dragon History";"pc";"NoSense";"2011-10-25";""
18773;"OpenTTD developers";"OpenTTD";"pc";"OpenTTD developers";"2011-10-25";""
18774;"OpenTyrian Team";"OpenTyrian";"pc";"OpenTyrian Team";"2011-10-25";""
18775;"Alcachofa Soft";"Drascula";"pc";"Alcachofa Soft";"2011-10-25";""
18776;"Spellbound";"Arcania: Fall of Setarrif";"pc";"Nordic Games Publishing";"2011-10-24";"41"
18777;"Croteam, Vlambeer";"Serious Sam: The Random Encounter";"pc";"Devolver Digital";"2011-10-24";"64"
18778;"Digital Eel";"Data Jammers: FastForward";"pc";"Digital Eel";"2011-10-24";""
18779;"gamigo";"King of Kings 3: Moon Goddess";"pc";"gamigo";"2011-10-24";""
18780;"Bimboosoft";"Maximum Roller Coaster";"pc";"Bimboosoft";"2011-10-24";""
18781;"Vega Strike Team";"Vega Strike";"pc";"Vega Strike Team";"2011-10-24";""
18782;"Ronove";"Star Stealing Prince";"pc";"Ronove";"2011-10-24";""
18783;"Big Fish Games";"Drawn: Trail of Shadows";"pc";"Big Fish Games";"2011-10-21";""
18784;"Frozax Games";"Spring Up Harmony";"pc";"Little Indie";"2011-10-21";""
18785;"Overkill Software";"Payday: The Heist";"pc";"Sony Online Entertainment";"2011-10-20";"76"
18786;"Sports Interactive";"Football Manager 2012";"pc";"Sega";"2011-10-20";"84"
18787;"Monte Cristo Multimedia";"Cities XL 2012";"pc";"Focus Home Interactive";"2011-10-20";"61"
18788;"Iridium Studios";"Before the Echo";"pc";"Iridium Studios";"2011-10-20";"70"
18789;"Nonsuch Games";"Huespace";"pc";"Nonsuch Games";"2011-10-20";""
18790;"Team 17";"Worms Crazy Golf";"pc";"Team 17";"2011-10-19";""
18791;"Eclipse Games";"LightFish";"pc";"Eclipse Games";"2011-10-19";""
18792;"Slingo";"Slingo: 15 Years Anniversary Edition";"pc";"Collective Mindz";"2011-10-19";""
18793;"Alawar Entertainment, Inc";"Twisted Lands: Insomniac";"pc";"Alawar Entertainment, Inc";"2011-10-19";""
18794;"Team 17";"Worms Pinball";"pc";"Team 17";"2011-10-19";""
18795;"Trendy Entertainment";"Dungeon Defenders";"pc";"Trendy Entertainment";"2011-10-18";"81"
18796;"The Sims Studio";"The Sims 3: Pets";"pc";"Electronic Arts";"2011-10-18";"79"
18797;"Electronic Arts";"The Sims 3 Plus Pets";"pc";"Electronic Arts";"2011-10-18";""
18798;"Eidos Montreal";"Deus Ex: Human Revolution - The Missing Link";"pc";"Square Enix";"2011-10-18";"73"
18799;"PomPom Games";"Alien Zombie Megadeath";"pc";"PomPom Games";"2011-10-18";""
18800;"Creat Studios";"Smash Cars";"pc";"Metro3D";"2011-10-18";""
18801;"Bright Future GmbH";"FIFA Manager 12";"pc";"Electronic Arts";"2011-10-18";"72"
18802;"Her Interactive";"Nancy Drew: Alibi in Ashes";"pc";"Her Interactive";"2011-10-18";""
18803;"OpenClonk Developers";"OpenClonk";"pc";"OpenClonk Developers";"2011-10-18";""
18804;"PLAY Software";"2 Fast Driver";"pc";"Libredia";"2011-10-18";""
18805;"Positech Games";"Gratuitous Space Battles: The Parasites";"pc";"Positech Games";"2011-10-17";""
18806;"Positech Games";"Gratuitous Space Battles: The Parasites";"pc";"Positech Games";"2011-10-17";""
18807;"Machine 22";"Star Corsairs";"pc";"Machine 22";"2011-10-17";""
18808;"Starflower Games Ltd.";"Project Black Sun";"pc";"Starflower Games Ltd.";"2011-10-17";""
18809;"Toys for Bob";"Skylanders: Spyro's Adventure";"pc";"Activision";"2011-10-16";""
18810;"";"Lilly & Sasha: Guardian Angels";"pc";"";"2011-10-14";"tbd"
18811;"Double Fine Productions";"Costume Quest";"pc";"Double Fine Productions";"2011-10-14";""
18812;"";"Might & Magic: Heroes VI";"pc";"Ubisoft";"2011-10-13";"77"
18813;"Sidhe Interactive";"Rugby Challenge";"pc";"Sidhe Interactive";"2011-10-13";""
18814;"Xendex";"Red Bull X-Fighters";"pc";"Konami";"2011-10-13";""
18815;"CapricornGames";"Jumping Line";"pc";"CapricornGames";"2011-10-13";""
18816;"AndreilGame";"Little Kingdom";"pc";"AndreilGame";"2011-10-13";""
18817;"Orbital Games";"Octopede";"pc";"Orbital Games";"2011-10-13";""
18818;"Wadjet Eye Games";"The Blackwell Deception";"pc";"Wadjet Eye Games";"2011-10-12";"73"
18819;"Overhaul Games";"MDK2 HD";"pc";"Beamdog";"2011-10-12";"73"
18820;"Viva Media, Viva Media, LLC";"Sacra Terra: Angelic Night";"pc";"Viva Media
                                                            
                                                    

                                                            
                                                        Viva Media,";"2011-10-12";""
18821;"Spacetime Studios, LLC";"Star Legends: The Blackstar Chronicles";"pc";"Spacetime Studios, LLC";"2011-10-12";""
18822;"Astroboid";"Astralia";"pc";"Astroboid";"2011-10-12";""
18823;"Kalypso";"Airline Tycoon 2";"pc";"Kalypso";"2011-10-11";"57"
18824;"Robot Entertainment";"Orcs Must Die!";"pc";"Robot Entertainment";"2011-10-11";"83"
18825;"BioWare";"Dragon Age II: Mark of the Assassin";"pc";"Electronic Arts";"2011-10-11";"83"
18826;"Graduate Games";"Best in Show Solitaire";"pc";"Big Fish Games";"2011-10-11";""
18827;"Gearbox Software";"Duke Nukem Forever: Hail to the Icons Parody Pack";"pc";"2K Games";"2011-10-11";""
18828;"Wolf Games";"Crazy Cats Love";"pc";"Interplay";"2011-10-11";""
18829;"Ideas Pad";"Puzzler World 2";"pc";"Digital Game Factory";"2011-10-10";""
18830;"Ndoors";"Empire Rising";"pc";"Ndoors";"2011-10-10";""
18831;"Ephemere Games";"Commander";"pc";"Ephemere Games";"2011-10-09";""
18832;"Charlie's Games";"Scoregasm";"pc";"Charlie's Games";"2011-10-08";""
18833;"Red27 Studios";"Awesome Soccer World 2010";"pc";"Red27 Studios";"2011-10-08";""
18834;"Orator Games";"Blue Libra";"pc";"Orator Games";"2011-10-07";""
18835;"id Software";"Rage";"pc";"Bethesda Softworks";"2011-10-04";"79"
18836;"Visual Concepts";"NBA 2K12";"pc";"2K Sports";"2011-10-04";"86"
18837;"Casual Box Studio";"Age of Enigma: The Secret of the Sixth Ghost";"pc";"THQ";"2011-10-04";""
18838;"Firaxis Games";"Sid Meier's Civilization V: Game of the Year Edition";"pc";"2K Games";"2011-10-04";""
18839;"Valve Software";"Portal 2: Peer Review";"pc";"Valve Software";"2011-10-04";""
18840;"roseVeRte";"CAFE 0 ~The Drowned Mermaid~";"pc";"roseVeRte";"2011-10-04";""
18841;"Physmo";"Mos Speedrun";"pc";"Physmo";"2011-10-04";""
18842;"Wadjet Eye Games";"The Blackwell Trilogy: Remastered";"pc";"Wadjet Eye Games";"2011-10-04";""
18843;"Paradox Interactive";"Hearts of Iron The Card Game";"pc";"Paradox Interactive";"2011-10-03";""
18844;"indiePub";"Totem Destroyer Deluxe";"pc";"indiePub";"2011-10-03";""
18845;"Fatshark AB";"Hamilton's Great Adventure: Retro Fever";"pc";"Fatshark AB";"2011-10-03";""
18846;"";"Men of War: Assault Squad - MP Supply Pack Bravo";"pc";"";"2011-10-03";"tbd"
18847;"Landauer Games";"Star Sonata";"pc";"Landauer Games";"2011-10-03";""
18848;"Isotx";"Iron Grip: Marauders";"pc";"Isotx";"2011-09-30";""
18849;"Reality Pump";"Two Worlds II: Pirates of the Flying Fortress";"pc";"TopWare Interactive";"2011-09-30";"78"
18850;"Sproing Interactive Media";"Dance! It's Your Stage";"pc";"dtp Young Entertainment AG";"2011-09-30";""
18851;"Francisco Tellez de Meneses";"Unepic";"pc";"franfistro";"2011-09-30";"68"
18852;"Over Drive";"Go! Go! Nippon! ~My First Trip to Japan~";"pc";"MangaGamer";"2011-09-30";""
18853;"Telltale Games";"Back to the Future: The Game";"pc";"Telltale Games";"2011-09-29";""
18854;"Rampant Games";"Frayed Knights: The Skull of S'makh-Daon";"pc";"Rampant Games";"2011-09-29";""
18855;"Red Redemption";"Fate of the World: Tipping Point";"pc";"Red Redemption";"2011-09-29";"69"
18856;"Steel Monkeys";"Post Apocalyptic Mayhem: Chaos Pack";"pc";"Meridian4";"2011-09-29";""
18857;"";"Sniper: Ghost Warrior - Second Strike";"pc";"";"2011-09-29";"tbd"
18858;"Giants Software";"Farming Simulator 2011: Equipment Pack 3";"pc";"Big Sims";"2011-09-29";""
18859;"Avalon Style";"Off-Road Drive";"pc";"1C";"2011-09-29";"60"
18860;"Eyedentity Games";"Dragon Nest";"pc";"Nexon America Inc.";"2011-09-28";""
